"***SISTEMA DE CUSTOS REFERENCIAIS DE OBRAS - SICRO***CGCIT***DNIT***Santa Catarina - Janeiro/2020"
"Custo Unitário"
"(R$)***Unidade***Descrição do Serviço***Código"
"86,03***dm³***Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação***0307731"
"64,29***dm³***Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação***0307732"
"15.214,65***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 1.500 kN - fornecimento e instalação***0308308"
"98.653,11***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 10.000 kN - fornecimento e instalação***0308313"
"24.770,44***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 2.500 kN - fornecimento e instalação***0308309"
"39.537,13***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 4.000 kN - fornecimento e instalação***0308310"
"54.308,36***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 5.500 kN - fornecimento e instalação***0308311"
"74.006,56***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 7.500 kN - fornecimento e instalação***0308312"
"10.173,98***un***Aparelho de apoio metálico elastomérico fixo com capacidade de 700 kN - fornecimento e instalação***0308307"
"8.195,65***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 1.500 kN - fornecimento e instalação***0308322"
"52.013,97***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 10.000 kN - fornecimento e instalação***0308327"
"12.234,96***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 2.500 kN - fornecimento e instalação***0308323"
"21.284,50***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 4.000 kN - fornecimento e instalação***0308324"
"29.237,81***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 5.500 kN - fornecimento e instalação***0308325"
"36.401,33***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 7.500 kN - fornecimento e instalação***0308326"
"4.759,42***un***Aparelho de apoio metálico elastomérico multidirecional com capacidade de 700 kN - fornecimento e instalação***0308321"
"10.203,56***un***Aparelho de apoio metálico elastomérico unidirecional com capacidade de 1.500 kN - fornecimento e instalação***0308315"
"58.537,01***un***Aparelho de apoio metálico elastomérico unidirecional com capacidade de 10.000 kN - fornecimento e instalação***0308320"
"16.752,49***un***Aparelho de apoio metálico elastomérico unidirecional com capacidade de 2.500 kN - fornecimento e instalação***0308316"
"20.526,74***un***Aparelho de apoio metálico elastomérico unidirecional com capacidade de 4.000 kN - fornecimento e instalação***0308317"
"32.347,81***un***Aparelho de apoio metálico elastomérico unidirecional com capacidade de 5.500 kN - fornecimento e instalação***0308318"
